사용자 ID,광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,시청 비율
user_1,비즈플레이 경비지출관리시스템 : 영수증편,2018-05-25,15.0,컴퓨터및정보통신,컴퓨터S/W,컴퓨터S/W기타,비즈플레이 주식회사,직거래,비알캠페인,70
user_1,원스토어_원스토리:당신이 원하는 스토리편_15,2021-12-23,15.0,유통,유통기타,유통기타,원스토어 주식회사,TBWA KOREA(주),TBWA KOREA,70
user_1,미디어윌벼룩시장사업본부 벼룩시장 : 대표답네편,2023-02-07,15.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스기타,(주)미디어윌벼룩시장사업본부,(주)디렉터스컴퍼니,디렉터스컴퍼니,70
user_1,영화 포스터로 보는 한국 영화 100년,2019-08-30,20.0,서비스,문화및공연,"전시, 박람회 및 학술회의",재단법인창원문화재단,(주)유프레임,(주)유프레임,70
user_1,누구나,2019-05-13,30.0,관공서및단체,관공서및단체기타,관공서및단체기타,한국방송광고진흥공사,직거래,파이더스미디어,70
user_1,광동생활건강_광동침향환_60,2021-05-27,60.0,가정용전기전자,가사용전기전자,가사용전기전자기타,광동제약,,,70
user_1,둘코락스,2017-08-10,15.0,제약및의료,소화위장약,변비치료제,(주)사노피-아벤티스코리아,그룹엠코리아 주식회사,에그플랜트,70
user_1,누텔라,2017-09-27,15.0,식품,농산품,쨈류,페레로 아시아 리미티드 한국지점,옴니콤미디어그룹코리아(주),에그앤프로덕션,70
user_1,장애인 인식개선 공익캠페인 송출,2019-10-18,15.0,교육및복지후생,복지후생기관,복지후생기관기타,(사)경상남도장애인단체총연합회,(주)서경방송,모던필름,70
user_1,"구글코리아 구글플레이게임즈 : 붕괴스타레일,프로모션편",2023-04-21,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,구글코리아 유한회사,그룹엠코리아 주식회사,제일기획,70
user_1,엘지전자 프라엘 :탄력샷 테크닉편,2023-02-02,15.0,가정용전기전자,가사용전기전자,전기이미용기기,엘지전자(주),(주)에이치에스애드,스튜디오 메카,70
user_1,투썸플레이스 투썸 아이스박스 : 아박편,2024-05-03,15.0,식품,제빵,"빵,케익및떡",투썸플레이스 주식회사,TBWA KOREA(주),TBWA KOREA(주),70
user_1,테일러메이드 심2 : 골프를 향한 열정편_30,2021-01-29,30.0,가정용품,"취미,레저용품",골프용품,(유)테일러메이드코리아,(주)이노션,이노션,70
user_1,쁘띠메종 그만매트 : 이제 걱정은 그만편_15,2021-05-26,15.0,가정용품,가정용인테리어,가정용인테리어기타,쁘띠메종,(주)에스비에스엠앤씨,(주)에스비에스엠앤씨,70
user_1,잉글리시에그 뮤지컬 라임 : 돌아 왔습니다편,2018-10-18,15.0,출판,유아용교재,유아용교재기타,주식회사 잉글리시에그,(주)서울디지컴애드,서울디지컴,70
user_1,CF_0220,2018-02-20,20.0,교육및복지후생,교육기관,진학입시학원,201801대성,주식회사 에스알비애드,(주)사랑방애드,70
user_1,2017 Btv(투비),2017-06-08,15.0,컴퓨터및정보통신,통신망,통신망기타,에스케이브로드밴드주식회사,에스케이플래닛(주),에스케이플래닛(주),70
user_1,클라힐_베베드몽_30,2021-05-24,30.0,화장품및보건용품,"유,아동용화장및세제","유,아동용화장및세제제품종합",주식회사 클라힐(CAHEA. CO. D),(주)멜로펀치,주식회사 이펙트원,70
user_1,한독_케토톱 : 붙이는 통증 전문가편,2021-03-22,30.0,제약및의료,근육및신경통제,근육통제,주식회사 한독,아이디어달리,시대의시선,70
user_1,동서식품_카누 : 세상에서 가장 작은 라떼 맛집편_30,2022-07-15,30.0,음료및기호식품,기호식품,커피및커피믹스,동서식품(주),(주)제일기획,제일기획,70
user_1,에스케이텔레콤 SKT 기업PR : 에이닷편,2023-03-27,60.0,컴퓨터및정보통신,통신정보서비스,통신정보서비스제품종합,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,70
user_1,넷플릭스_오징어게임 티저_15,2021-08-20,15.0,서비스,문화및공연,영화,넷플릭스서비시스코리아(유),(주)대홍기획,대홍기획,70
user_1,19상반기 TV,2019-04-29,30.0,컴퓨터및정보통신,통신정보서비스,모바일콘텐츠서비스,주식회사 백패커,직거래,앨리스퀘어,70
user_1,괴산세계유기농산업엑스포조직위원회_괴산세계유기농산업엑스포 홍보:유기농으로 함께 살다편_15,2022-08-05,15.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,괴산세계유기농산업엑스포조직위원회,(주)멜로펀치,(주)멜로펀치,70
user_1,마인드마크 30일 : 대개봉 수정편,2023-09-22,15.0,서비스,문화및공연,영화,주식회사 마인드마크,(주)에스엠컬처앤콘텐츠 광고사업부문,탐(TOMM),70
user_1,코웨이 노블공기청청기 : 컬렉션편,2024-06-14,15.0,가정용전기전자,가사용전기전자,가사용전기전자제품종합,코웨이(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,70
user_1,웨이즈비_2017 소피루비 : 샤르르마을의 대축제_15,2017-03-24,15.0,서비스,문화및공연,공연,(주)웨이즈비,씽크플래닛(주),(주)웨이즈비,70
user_1,보령시청_보령 PR:여름은 보령이 재밌다편_30,2022-06-23,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,보령시청,,,70
user_1,KT 5G 갤럭시 노트20 : 제니의 빨간노트편_30,2020-08-28,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,70
user_1,하이트진로 테라 : 청정맥아편,2019-04-04,15.0,서비스,문화및공연,영화,하이트진로(주),(주)이노션,메이트 커뮤니케이션즈,70
user_1,엘지전자 LG SIGNATURE 세탁기 : 작품이 되다편,2018-12-14,30.0,가정용전기전자,가사용전기전자,세탁기,엘지전자(주),(주)에이치에스애드,브라보,70
user_1,2019 무배추 자조금 가입 TV,2019-11-27,15.0,식품,농산품,야채류원산,(사)한국무배추생산자연합회,(주)붐커뮤니케이션,(주)붐커뮤니케이션,70
user_1,아콘 2023 광주전남 유통인쇼 : 지금 절찬리 행사중편,2023-06-20,30.0,서비스,문화및공연,"전시, 박람회 및 학술회의",주식회사 아콘,올리브미디어(주),올리브미디어(주),70
user_1,에스케이텔레콤 기업PR : 초시대 런칭편,2020-08-25,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,70
user_1,넷플릭스서비시스코리아 넷플릭스 : 뭐봄 위험한 세상편,2023-06-14,30.0,서비스,문화및공연,문화및공연기타,넷플릭스서비시스코리아 유한회사,(주)에이치에스애드,비주얼인텔리전스,70
user_1,넷플릭스 10월 브랜드 : 소개팅편,2023-09-27,30.0,서비스,문화및공연,문화및공연기타,넷플릭스서비시스코리아 유한회사,주식회사 에이치에스애드,(주)에이치에스애드,70
user_1,테일러메이드_올뉴P790:레벨업하다 편_15,2022-05-27,15.0,가정용품,"취미,레저용품",골프용품,(유)테일러메이드코리아,(주)이노션,이노션,70
user_1,창원아카데미(11월),2017-10-27,20.0,교육및복지후생,사회교육,사회교육기타,(주)한국디지털방송,(주)한국디지털방송,(주)한국디지털방송,70
user_1,진안군청 2019 진안홍삼축제 홍보편,2019-09-11,20.0,서비스,문화및공연,지역 및 문화축제,진안군청,한국언론진흥재단,(주)한국방송미디어,70
user_1,2017 영화예고편,2017-02-24,15.0,서비스,문화및공연,영화,이십세기폭스코리아(주),레오버넷(주),웰콤,70
user_1,엘지전자 트롬 건조기 : 무자막편,2018-12-12,30.0,가정용전기전자,가사용전기전자,세탁기,엘지전자(주),(주)에이치에스애드,브라보,70
user_1,오뚜기 피자(2017),2017-06-30,20.0,식품,제빵,"햄버거,피자및샌드위치",(주)오뚜기,(주)애드리치,애드리치,70
user_1,넷플릭스 컨셉라인업 : 해외신작편,2023-11-28,30.0,서비스,문화및공연,문화및공연기타,넷플릭스서비시스코리아 유한회사,주식회사 에이치에스애드,비주얼인텔리전스,70
user_1,김대중컨벤션센터_sweet 2017 전시회:초대합니다편_20,2017-02-27,20.0,서비스,문화및공연,"전시, 박람회 및 학술회의",김대중컨벤션센터,한국언론진흥재단,(주)아트컴,70
user_1,삼성전자 비스포크 제트AI : 제트워크편,2023-04-11,30.0,가정용전기전자,가사용전기전자,청소기,삼성전자(주),(주)제일기획,apc,70
user_1,에스케이텔레콤_ SK텔레콤 갤럭시 Z 플립4 : What a wonderFlip 당신_60,2022-08-16,60.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,70
user_1,명인제약 메이킨 : 잘잘잘편,2023-04-28,15.0,제약및의료,소화위장약,변비치료제,명인제약(주),(주)명애드컴,(주)티키타카,70
user_1,보건복지부_노담이면 좋겠어 런칭,2021-09-30,15.0,관공서및단체,관공서및단체기타,관공서및단체기타,보건복지부,(주)에이치에스애드,LG애드,70
user_1,월트디즈니컴퍼니코리아 스트리밍 안내 : 황금연휴편,2023-09-15,15.0,서비스,문화및공연,영화,월트디즈니컴퍼니코리아 유한책임회사,레오버넷(주),레오버넷,70
user_1,아이들나라(TV),2019-08-20,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신제품종합,(주)엘지유플러스,(주)에이치에스애드,슈퍼마켓크리에이티브,70
user_1,선인커뮤니티_2022년 제31회 부산창업박람회 홍보_20,2022-03-29,20.0,서비스,문화및공연,"전시, 박람회 및 학술회의",선인커뮤니티주식회사,주식회사애드넷21,애드넷21,70
user_1,대구광역치매센터 : 치매예방 캠페인,2020-06-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,대구광역치매센터,(주)당근애드,(주)당근애드,70
